first_release_year,name,count
1891,pop,1
1896,pop,2
1897,jazz,3
1897,ragtime,3
1898,jazz,1
1898,ragtime,1
1899,comedy,1
1899,jazz,3
1899,non-music,1
1899,ragtime,3
1901,jazz,1
1901,ragtime,1
1902,comedy,1
1902,folk,2
1902,jazz,1
1902,non-music,1
1902,pop,5
1902,ragtime,1
1903,jazz,1
1903,pop,7
1903,ragtime,2
1904,comedy,2
1904,jazz,5
1904,non-music,2
1904,pop,8
1904,ragtime,4
1905,jazz,1
1905,pop,13
1905,ragtime,1
1905,vaudeville,2
1906,comedy,1
1906,jazz,3
1906,non-music,1
1906,poetry,1
1906,pop,21
1906,ragtime,3
1906,vaudeville,3
1907,comedy,2
1907,folk,1
1907,jazz,3
1907,non-music,3
1907,pop,14
1907,ragtime,3
1907,spoken word,1
1907,vaudeville,2
1908,folk,2
1908,jazz,2
1908,non-music,1
1908,pop,14
1908,ragtime,2
1908,vaudeville,1
1909,classical,2
1909,comedy,3
1909,jazz,1
1909,non-music,3
1909,pop,13
1909,ragtime,1
1910,classical,4
1910,instrumental,2
1910,pop,7
1911,classical,1
1911,pop,2
1912,classical,1
1912,instrumental,1
1912,pop,4
1912,ragtime,2
1913,pop,1
1914,pop,4
1916,pop,3
1917,classical,1
1917,dixieland,1
1917,jazz,2
1917,pop,4
1918,ballad,1
1918,blues,1
1918,chamber music,1
1918,classical,1
1918,dixieland,3
1918,jazz,3
1918,pop,3
1918,ragtime,1
1919,classical,4
1919,comedy,3
1919,dixieland,2
1919,jazz,5
1919,pop,15
1920,big band,1
1920,blues,2
1920,classical,2
1920,jazz,7
1920,pop,17
1921,blues,6
1921,comedy,1
1921,dixieland,2
1921,jazz,17
1921,non-music,1
1921,pop,23
1922,blues,13
1922,classical,2
1922,gospel,1
1922,jazz,12
1922,pop,26
1922,vaudeville blues,2
1923,big band,1
1923,blues,9
1923,classical,2
1923,comedy,1
1923,dixieland,1
1923,easy listening,1
1923,jazz,15
1923,non-music,1
1923,piano blues,2
1923,pop,12
1923,vaudeville,2
1923,vaudeville blues,1
1924,big band,2
1924,blues,16
1924,comedy,4
1924,country,1
1924,death by heart failure,1
1924,jazz,23
1924,musical,1
1924,pop,18
1925,big band,1
1925,blues,15
1925,classical,1
1925,country,2
1925,instrumental,1
1925,jazz,23
1925,piano blues,2
1925,pop,15
1926,big band,2
1926,blues,15
1926,classical,1
1926,country,2
1926,country blues,3
1926,easy listening,2
1926,gospel,4
1926,jazz,33
1926,pop,12
1926,swing,1
1926,texas blues,1
1927,big band,4
1927,blues,21
1927,classical,3
1927,country,9
1927,country blues,8
1927,dixieland,3
1927,gospel,3
1927,jazz,48
1927,non-music,6
1927,pop,18
1927,texas blues,8
1927,victor,1
1928,big band,4
1928,blues,24
1928,cajun,1
1928,country,13
1928,country blues,7
1928,delta blues,1
1928,gospel,1
1928,jazz,43
1928,musical,1
1928,other blues,1
1928,pop,24
1928,swing,1
1928,texas blues,3
1929,blues,34
1929,boogie-woogie,1
1929,country,13
1929,country blues,2
1929,delta blues,1
1929,gospel,2
1929,jazz,32
1929,old timey,1
1929,piano blues,4
1929,pop,12
1929,swing,1
1929,texas blues,7
1930,big band,8
1930,blues,11
1930,cajun,1
1930,country,3
1930,country blues,5
1930,delta blues,3
1930,gospel,1
1930,jazz,39
1930,pop,15
1930,texas blues,1
1931,big band,13
1931,blues,17
1931,country,7
1931,country blues,4
1931,delta blues,2
1931,easy listening,1
1931,jazz,41
1931,pop,17
1931,swing,6
1932,big band,18
1932,blues,6
1932,country,1
1932,country blues,3
1932,delta blues,3
1932,gospel,1
1932,hillbilly,1
1932,jazz,47
1932,piano blues,1
1932,pop,6
1932,swing,11
1933,big band,13
1933,blues,3
1933,classic r&b/soul,1
1933,country,4
1933,country and western,2
1933,country blues,2
1933,jazz,28
1933,pop,12
1933,swing,5
1934,big band,32
1934,blues,4
1934,celtic,1
1934,country,2
1934,country blues,4
1934,electric blues,1
1934,jazz,62
1934,latin,1
1934,musical,3
1934,pop,21
1934,swing,12
1934,tejano,1
1935,big band,18
1935,blues,7
1935,classical,1
1935,country,8
1935,country blues,3
1935,easy listening,1
1935,hillbilly,2
1935,jazz,40
1935,piano blues,2
1935,polka,1
1935,pop,21
1935,schlager,1
1935,swing,15
1935,western,1
1935,western swing,2
1936,big band,26
1936,blues,12
1936,chicago blues,1
1936,country,9
1936,country blues,5
1936,delta blues,3
1936,dixieland,3
1936,folk,2
1936,jazz,91
1936,musical,2
1936,pop,18
1936,swing,30
1936,western swing,6
1937,big band,34
1937,blues,18
1937,boogie-woogie,1
1937,comedy,1
1937,country,13
1937,country blues,2
1937,delta blues,6
1937,hillbilly,1
1937,indie rock,1
1937,jazz,101
1937,latin,1
1937,piano blues,1
1937,pop,36
1937,rock,1
1937,swing,24
1937,texas blues,1
1937,western swing,4
1938,1–9 wochen,1
1938,big band,49
1938,blues,13
1938,boogie-woogie,1
1938,country,11
1938,english,1
1938,first commercially issued film soundtrack,1
1938,gospel,1
1938,gypsy jazz,1
1938,instrumental,2
1938,jazz,120
1938,musical,1
1938,non-music,1
1938,offizielle charts,1
1938,ost,1
1938,pop,31
1938,soundtrack,1
1938,swing,37
1938,western swing,2
1939,big band,80
1939,blues,18
1939,boogie-woogie,7
1939,comedy,1
1939,country,12
1939,country blues,2
1939,dance,2
1939,dixieland,6
1939,folk,1
1939,gospel,1
1939,honky tonk,3
1939,indie rock,1
1939,jazz,162
1939,jump blues,1
1939,musical,1
1939,piano blues,6
1939,pop,46
1939,ragtime,1
1939,rock,1
1939,swing,49
1939,western swing,6
1940,1940,1
1940,ballad,2
1940,big band,76
1940,blues,15
1940,boogie-woogie,2
1940,classical,2
1940,country,7
1940,country and western,1
1940,cowboy,1
1940,delta blues,2
1940,dixieland,2
1940,dust bowl ballads,1
1940,folk,3
1940,hillbilly,2
1940,jazz,142
1940,latin,1
1940,non-music,3
1940,opera,3
1940,pop,76
1940,ragtime,2
1940,stride,1
1940,swing,44
1940,vaudeville blues,1
1940,victor,1
1940,western swing,8
1941,1940s,1
1941,ballad,1
1941,big band,92
1941,blues,21
1941,boogie-woogie,4
1941,chicago blues,1
1941,classic country,1
1941,classical,7
1941,country,8
1941,country blues,3
1941,delta blues,1
1941,easy listening,4
1941,folk,1
1941,honky tonk,1
1941,jazz,148
1941,jump blues,2
1941,musical,1
1941,piano blues,1
1941,pop,67
1941,ragtime,1
1941,swing,36
1941,traditional pop,1
1941,western swing,2
1942,ballad,1
1942,big band,59
1942,bluegrass,2
1942,blues,10
1942,chicago blues,1
1942,comedy,1
1942,cool jazz,1
1942,country,10
1942,easy listening,3
1942,gospel,1
1942,hillbilly,1
1942,instrumental,1
1942,jazz,83
1942,miscellaneous,2
1942,pop,57
1942,swing,22
1942,texas blues,1
1942,western swing,7
1943,ballad,3
1943,big band,43
1943,blues,16
1943,boogie-woogie,2
1943,classical,5
1943,country,5
1943,easy listening,1
1943,gospel,1
1943,jazz,84
1943,latin,2
1943,musical,3
1943,opera,1
1943,pop,63
1943,swing,27
1944,ballad,4
1944,big band,264
1944,blues,23
1944,boogie-woogie,5
1944,classical,37
1944,country,13
1944,country blues,1
1944,dixieland,1
1944,doo-wop,2
1944,easy listening,5
1944,folk,1
1944,gospel,3
1944,jazz,332
1944,jump blues,1
1944,musical,2
1944,opera,9
1944,polka,5
1944,pop,217
1944,ragtime,1
1944,swing,160
1945,ballad,6
1945,barbershop,2
1945,big band,205
1945,blues,31
1945,bolero,1
1945,boogie-woogie,2
1945,chicago blues,2
1945,christmas,1
1945,christmas music,1
1945,classical,43
1945,comedy,2
1945,cool jazz,1
1945,country,10
1945,discogs/the most popular album released every year from 1950 to 2020,1
1945,dixieland,8
1945,easy listening,8
1945,folk,6
1945,gospel,1
1945,holiday,1
1945,jazz,378
1945,jazz/swing,3
1945,jump blues,3
1945,latin,3
1945,latin jazz,3
1945,musical,6
1945,opera,1
1945,piedmont blues,2
1945,polka,1
1945,pop,261
1945,pop christmas,1
1945,swing,117
1945,traditional pop,2
1945,vallenato,1
1945,vocal,1
1945,vocal jazz,1
1945,western swing,2
1946,ballad,3
1946,big band,166
1946,bluegrass,1
1946,blues,28
1946,boogie-woogie,6
1946,christmas,1
1946,christmas music,2
1946,classical,42
1946,comedy,2
1946,country,16
1946,country blues,1
1946,dixieland,11
1946,easy listening,3
1946,gospel,2
1946,instrumental,3
1946,jazz,273
1946,jazz/swing,3
1946,jump blues,4
1946,latin,8
1946,music hall,1
1946,musical,1
1946,non-music,1
1946,opera,9
1946,polka,1
1946,pop,211
1946,r&b,1
1946,ragtime,1
1946,spoken word,2
1946,swing,69
1946,traditional pop,1
1946,western swing,2
1947,ballad,6
1947,big band,121
1947,bluegrass,4
1947,blues,30
1947,boogie-woogie,3
1947,cajun,1
1947,classic country,1
1947,classical,31
1947,comedy,3
1947,country,35
1947,country blues,2
1947,dixieland,6
1947,easy listening,10
1947,electric blues,1
1947,folk,1
1947,gospel,11
1947,honky tonk,6
1947,jazz,233
1947,jump blues,4
1947,lounge,3
1947,musical,2
1947,non-music,7
1947,opera,5
1947,polka,2
1947,pop,210
1947,spoken word,3
1947,swing,36
1947,texas blues,1
1947,traditional country,4
1947,traditional pop,1
1947,vocal jazz,1
1947,western swing,7
1948,1–4 wochen,1
1948,ballad,2
1948,big band,45
1948,bluegrass,5
1948,blues,21
1948,boogie-woogie,1
1948,chicago blues,3
1948,christmas,1
1948,christmas music,1
1948,classical,14
1948,cool jazz,1
1948,country,17
1948,delta blues,1
1948,easy listening,5
1948,english,1
1948,folk,2
1948,gospel,3
1948,hillbilly,2
1948,jazz,106
1948,jump blues,5
1948,latin jazz,1
1948,musical,3
1948,non-music,3
1948,offizielle charts,1
1948,piano blues,1
1948,pop,98
1948,swing,13
1948,texas blues,2
1948,vocal jazz,1
1948,western swing,1
1949,afro-cuban jazz,5
1949,ballad,2
1949,big band,35
1949,bluegrass,5
1949,blues,18
1949,boogie-woogie,2
1949,christmas music,3
1949,classic country,2
1949,classical,18
1949,cool jazz,1
1949,country,37
1949,dixieland,1
1949,doo-wop,1
1949,early pop,2
1949,easy listening,9
1949,electric blues,2
1949,figure this out,1
1949,folk,1
1949,gospel,1
1949,honky tonk,4
1949,instrumental,3
1949,jazz,147
1949,jump blues,1
1949,jump-blues,1
1949,musical,9
1949,new orleans r&b,1
1949,oldies,1
1949,opera,2
1949,pop,167
1949,ragtime,2
1949,rock & roll,1
1949,soul/r&b,1
1949,swing,27
1949,texas blues,3
1949,traditional pop,1
1949,western swing,8
1950,1940s,1
1950,ballad,2
1950,barbershop,1
1950,baroque,1
1950,big band,44
1950,bluegrass,10
1950,blues,28
1950,boogie-woogie,1
1950,classic country,2
1950,classical,9
1950,comedy,1
1950,cool jazz,1
1950,country,30
1950,country blues,2
1950,discogs/the most popular album released every year from 1950 to 2020,1
1950,dixieland,7
1950,doo-wop,1
1950,easy listening,18
1950,electric blues,1
1950,experimental,1
1950,folk,4
1950,gospel,1
1950,honky tonk,2
1950,instrumental,3
1950,jazz,152
1950,jump blues,2
1950,latin,1
1950,lounge,1
1950,musical,8
1950,non-music,2
1950,opera,1
1950,piano blues,2
1950,pop,165
1950,r&b,1
1950,ragtime,4
1950,rhythm & blues,1
1950,rock,4
1950,rock & roll,1
1950,rock and roll,1
1950,soundtrack,1
1950,standards,3
1950,swing,16
1950,texas blues,1
1950,traditional country,2
1950,traditional pop,1
1950,vocal,1
1950,vocal group,1
1950,vocal jazz,6
1950,western swing,2
1951,ballad,5
1951,barbershop,1
1951,bebop,1
1951,big band,32
1951,bluegrass,9
1951,blues,31
1951,bop,2
1951,chicago blues,1
1951,christmas,3
1951,christmas music,2
1951,classical,11
1951,comedy,1
1951,cool jazz,5
1951,country,28
1951,delta blues,2
1951,discogs/the most popular album released every year from 1950 to 2020,1
1951,dixieland,5
1951,doo wop,1
1951,doo-wop,4
1951,early pop,1
1951,easy listening,12
1951,folk,4
1951,gospel,9
1951,honky tonk,6
1951,jazz,197
1951,jump blues,4
1951,jump-blues,1
1951,latin,1
1951,musical,12
1951,non-music,3
1951,polka,4
1951,pop,172
1951,ragtime,2
1951,rhythm & blues,1
1951,rock,8
1951,rock & roll,2
1951,rock and roll,1
1951,rockabilly,1
1951,soul,2
1951,spoken word,2
1951,swing,19
1951,traditional country,2
1951,western swing,5
1952,1950s,1
1952,1952,1
1952,afro-cuban jazz,2
1952,appalachian folk,1
1952,avant-garde jazz,2
1952,ballad,9
1952,bebop,2
1952,big band,22
1952,bluegrass,6
1952,bluegrass gospel,1
1952,blues,34
1952,bop,3
1952,check it,1
1952,chicago blues,2
1952,classical,9
1952,club-house,1
1952,comedy,1
1952,cool jazz,5
1952,country,48
1952,country blues,1
1952,discogs/the most popular album released every year from 1950 to 2020,1
1952,dixieland,8
1952,doo-wop,4
1952,easy listening,14
1952,film soundtrack,1
1952,fixme,1
1952,folk,2
1952,gospel,6
1952,hard bop,1
1952,honky tonk,7
1952,jazz,167
1952,jump blues,3
1952,latin jazz,1
1952,louisiana blues,3
1952,miles davis,1
1952,musical,15
1952,nashville sound,1
1952,new orleans r&b,1
1952,non-music,2
1952,oldies,2
1952,opera,2
1952,piano blues,1
1952,polka,1
1952,pop,178
1952,r&b,2
1952,ragtime,1
1952,rhythm & blues,4
1952,rock,12
1952,rock & roll,1
1952,rock and roll,6
1952,rockabilly,4
1952,show tunes,1
1952,soul jazz,1
1952,soundtrack,1
1952,stage screen,1
1952,standards,1
1952,swing,14
1952,traditional country,6
1952,traditional pop,1
1952,vocal jazz,4
1952,western swing,5
1953,appalachian folk,1
1953,avant-garde jazz,1
1953,ballad,6
1953,big band,31
1953,bluegrass,1
1953,blues,42
1953,chicago blues,1
1953,christmas music,2
1953,classic country,2
1953,classical,16
1953,comedy,5
1953,cool jazz,16
1953,country,39
1953,country and western,1
1953,country blues,2
1953,delta blues,1
1953,discogs/the most popular album released every year from 1950 to 2020,1
1953,dixieland,7
1953,doo-wop,9
1953,easy listening,20
1953,electric blues,2
1953,experimental,1
1953,folk,2
1953,gospel,1
1953,hard bop,1
1953,honky tonk,5
1953,jazz,187
1953,jump blues,2
1953,louisiana blues,1
1953,miles davis,1
1953,modern classical,1
1953,musical,8
1953,new orleans blues,1
1953,non-music,4
1953,novelty,1
1953,oldies,1
1953,pop,148
1953,pop rock,1
1953,r&b,1
1953,ragtime,2
1953,rhythm & blues,1
1953,rock,24
1953,rock and roll,11
1953,rockabilly,6
1953,soft rock,1
1953,soul,2
1953,spoken word,1
1953,swing,19
1953,texas blues,1
1953,traditional country,4
1953,traditional pop,1
1953,vocal jazz,3
1953,western swing,2
1954,afro-cuban jazz,1
1954,avant-garde jazz,1
1954,ballad,17
1954,bebop,1
1954,big band,52
1954,bluegrass,11
1954,bluegrass gospel,1
1954,blues,47
1954,bop,1
1954,calypso,1
1954,chicago blues,9
1954,christmas music,1
1954,classic country,1
1954,classical,10
1954,comedy,3
1954,comedy/spoken,1
1954,cool jazz,26
1954,country,39
1954,country blues,2
1954,country rock,1
1954,delta blues,2
1954,discogs/the most popular album released every year from 1950 to 2020,1
1954,dixieland,7
1954,doo wop,1
1954,doo-wop,27
1954,downtempo,1
1954,early pop,6
1954,easy listening,19
1954,electric blues,3
1954,exotica,1
1954,field recording,1
1954,folk,5
1954,free improvisation,1
1954,girl group,1
1954,gospel,4
1954,hard bop,8
1954,honky tonk,5
1954,instrumental,3
1954,jazz,266
1954,jazz and blues,1
1954,jazz pop,1
1954,jump blues,5
1954,jump-blues,2
1954,latin,3
1954,louisiana blues,1
1954,mambo,3
1954,miles davis,1
1954,music comedy,1
1954,music hall,1
1954,musical,6
1954,non-music,6
1954,oldies,3
1954,opera,1
1954,piano blues,1
1954,polka,2
1954,pop,165
1954,pop rock,1
1954,post-bop,2
1954,r&b,4
1954,rhythm & blues,6
1954,rock,48
1954,rock & roll,3
1954,rock and roll,12
1954,rock n roll,2
1954,rockabilly,5
1954,satire,1
1954,self-titled,1
1954,song parody,1
1954,soul,1
1954,spoken word,1
1954,standards,1
1954,swing,59
1954,texas blues,2
1954,traditional country,1
1954,traditional pop,6
1954,vocal,1
1954,vocal group,1
1954,vocal jazz,8
1954,western swing,3
1955,1950s,2
1955,1955,1
1955,1–4 wochen,1
1955,afro-cuban jazz,2
1955,american,1
1955,ballad,7
1955,barbershop,1
1955,baroque,3
1955,bebop,4
1955,big band,45
1955,big band and swing,1
1955,bluegrass,3
1955,blues,51
1955,boogie-woogie,3
1955,bop,5
1955,bossa nova,1
1955,cajun/country,3
1955,chicago blues,6
1955,christmas,1
1955,christmas music,1
1955,classic country,2
1955,classical,23
1955,comedy,2
1955,cool,2
1955,cool jazz,43
1955,country,55
1955,cowboy on cover,1
1955,delta blues,3
1955,dixieland,14
1955,doo wap,1
1955,doo wop,2
1955,doo-wop,34
1955,early pop,10
1955,easy listening,40
1955,electronic,2
1955,err,1
1955,exotica,1
1955,experimental,3
1955,folk,5
1955,folk / world / country,1
1955,gospel,7
1955,hard bop,18
1955,honky tonk,8
1955,instrumental,4
1955,instrumental jazz,3
1955,instrumental pop,1
1955,jazz,421
1955,jazz instrument,3
1955,jump blues,6
1955,jump-blues,1
1955,latin,1
1955,latin jazz,2
1955,lounge,2
1955,mainstream jazz,1
1955,miles davis,3
1955,musical,10
1955,non-music,1
1955,offizielle charts,1
1955,old timey,1
1955,oldies,2
1955,opera,1
1955,piano blues,2
1955,pop,177
1955,pop rock,5
1955,pop/rock,1
1955,post-bop,12
1955,ragtime,4
1955,rhythm & blues,3
1955,rock,72
1955,rock & roll,5
1955,rock and roll,25
1955,rockabilly,22
1955,samba-jazz,1
1955,should be public domain,2
1955,soul,2
1955,soundtrack,2
1955,space-age,1
1955,spoken word,1
1955,standards,2
1955,swamp pop,1
1955,swing,41
1955,swing/jazz,2
1955,third stream,1
1955,torch songs,1
1955,traditional country,1
1955,traditional pop,7
1955,trumpet jazz,3
1955,vocal,7
1955,vocal jazz,19
1955,vocal pop,1
1955,western swing,1
1955,world fusion,1
1956,1950s,1
1956,1956,1
1956,1960s,1
1956,1–9 wochen,3
1956,afro-cuban,2
1956,afro-cuban jazz,2
1956,album rock,1
1956,am pop,2
1956,avant-garde,1
1956,avant-garde jazz,4
1956,ballad,26
1956,ballads,1
1956,bebop,3
1956,big band,48
1956,bluegrass,5
1956,blues,63
1956,boogie-woogie,2
1956,bop,13
1956,broadway,1
1956,calypso,2
1956,check it,1
1956,chicago blues,4
1956,christmas,3
1956,classic country,1
1956,classic pop and rock,1
1956,classical,21
1956,comedy,5
1956,contemporary folk,1
1956,contemporary jazz,5
1956,contemporary pop/rock,1
1956,cool,10
1956,cool jazz,66
1956,country,56
1956,country blues,1
1956,country rock,2
1956,country/blues/folk,1
1956,descarga,1
1956,discogs/the most popular album released every year from 1950 to 2020,1
1956,dixieland,20
1956,doo wop,4
1956,doo-wop,73
1956,early jazz,1
1956,early jazz vocals,1
1956,early pop,12
1956,early pop rock and roll,1
1956,early pop/rock,2
1956,early r&b,1
1956,east coast blues,1
1956,easy listening,71
1956,electronic,3
1956,english,2
1956,exotica,1
1956,experimental,2
1956,film soundtrack,1
1956,folk,16
1956,funk soul,1
1956,general unclassifiable,1
1956,gospel,7
1956,guaguancó,1
1956,hard bop,50
1956,honky tonk,5
1956,https://www.youtube.com/watch?v=fbmsqu4gpxe,1
1956,i forgot to remember to forget,1
1956,indian classical,1
1956,instrumental,1
1956,instrumental jazz,2
1956,instrumental pop,1
1956,jazz,523
1956,jazz instrument,11
1956,jazz vocal,1
1956,jazz vocals,2
1956,jazz-pop,1
1956,jazz/swing,1
1956,jump blues,4
1956,latin,12
1956,latin jazz,8
1956,louisiana blues,1
1956,mambo,6
1956,medieval,1
1956,medieval and chant,1
1956,mento,1
1956,miles davis,12
1956,modern classical,1
1956,mono,1
1956,music hall,1
1956,musical,19
1956,new orleans,1
1956,new orleans r&b,2
1956,non-music,10
1956,offizielle charts,3
1956,oldies,4
1956,pop,241
1956,pop rock,6
1956,pop soul,1
1956,pop vocals,1
1956,pop/rock,2
1956,post bop,1
1956,post-bop,3
1956,progressive jazz,1
1956,r&b,6
1956,ragtime,5
1956,reggae,1
1956,regional blues,1
1956,rhythm & blues,8
1956,rhythm and blues,1
1956,rhythm blues,1
1956,rock,157
1956,rock & roll,22
1956,rock and roll,73
1956,rockabilly,40
1956,sea shanty,1
1956,self-titled,1
1956,short stories,4
1956,show tunes,1
1956,smooth jazz,3
1956,smooth soul,1
1956,soul,7
1956,soul jazz,7
1956,soundtrack,2
1956,spoken word,3
1956,ss,1
1956,stage screen,1
1956,standards,2
1956,swamp pop,2
1956,swing,79
1956,traditional country,1
1956,traditional pop,12
1956,trumpet jazz,11
1956,vocal,8
1956,vocal jazz,14
1956,western swing,1
1957,1950s,2
1957,1957,1
1957,1–4 wochen,3
1957,1–9 wochen,3
1957,afro-cuban jazz,4
1957,all-time greatest hits,1
1957,am pop,1
1957,american popular song,2
1957,appalachian folk,1
1957,avant-garde jazz,1
1957,ballad,18
1957,baroque,3
1957,bebop,2
1957,big band,51
1957,bluegrass,5
1957,blues,73
1957,blues rock,2
1957,boom boom out go the light,1
1957,bop,12
1957,bossa nova,1
1957,calypso,7
1957,cccd,1
1957,celtic,2
1957,chicago blues,3
1957,christmas,5
1957,christmas music,4
1957,classic country,1
1957,classical,35
1957,comedy,5
1957,concerto,1
1957,contemporary jazz,1
1957,cool,3
1957,cool jazz,63
1957,country,73
1957,country blues,2
1957,country boogie,1
1957,country gospel,2
1957,country music; traditional pop music,2
1957,country rock,1
1957,country soul,1
1957,death by heart attack,1
1957,death by pneumonia,1
1957,debut,1
1957,discogs/the most popular album released every year from 1950 to 2020,1
1957,dixieland,18
1957,doo wop,2
1957,doo-wop,63
1957,early pop,9
1957,early pop/rock,2
1957,early r&b,2
1957,easy listening,65
1957,electric blues,1
1957,electric chicago blues,1
1957,electric harmonica blues,1
1957,english,4
1957,exotica,1
1957,experimental big band,1
1957,female vocal,1
1957,folk,21
1957,folk/blues,1
1957,funk soul,2
1957,garage rock,1
1957,gospel,8
1957,hard bop,61
1957,harmonica blues,1
1957,holiday,1
1957,holidays,1
1957,honky tonk,6
1957,instrumental,9
1957,instrumental jazz,5
1957,instrumental r&b,1
1957,jazz,632
1957,jazz and blues,3
1957,jazz blues,3
1957,jazz instrument,5
1957,jazz vocal,2
1957,jazz vocals,2
1957,jazz/pop,1
1957,jazz/soul,1
1957,jump blues,5
1957,latin,11
1957,latin jazz,5
1957,louisiana blues,3
1957,lounge,1
1957,mainstream jazz,1
1957,mambo,2
1957,medieval,2
1957,miles davis,1
1957,modal,1
1957,modern creative,1
1957,musical,13
1957,new orleans,3
1957,non-music,8
1957,offizielle charts,6
1957,oldies,2
1957,opera,2
1957,piano blues,2
1957,piano jazz,1
1957,pop,233
1957,pop rock,4
1957,pop soul,1
1957,pop vocalists,2
1957,pop/rock,3
1957,post bop,1
1957,post-bop,12
1957,progressive country,1
1957,r&b,7
1957,r&b/swing,1
1957,radioplay,1
1957,ragtime,2
1957,reggae,3
1957,regional blues,1
1957,remastered,1
1957,retro rock,1
1957,rhythm & blues,5
1957,rhythm and blues,1
1957,rhythm blues,2
1957,rock,181
1957,rock & roll,20
1957,rock and roll,95
1957,rock roll,1
1957,rockabilly,47
1957,rockabily,1
1957,schlager,1
1957,score,1
1957,should be public domain,1
1957,soul,5
1957,soul blues,2
1957,soul jazz,7
1957,soul-jazz,1
1957,soundtrack,2
1957,southern gospel,1
1957,spoken word,2
1957,stage musicals,2
1957,standards,3
1957,swamp pop,1
1957,swing,54
1957,swing/jazz,1
1957,teen pop,1
1957,torch songs,2
1957,traditional country,4
1957,traditional gospel,1
1957,traditional pop,20
1957,trumpet jazz,5
1957,urban blues,1
1957,vocal,12
1957,vocal jazz,23
1957,western swing,1
1958,1950s,2
1958,1–9 wochen,1
1958,adult contemporary,1
1958,afro-cuban jazz,5
1958,american folk,1
1958,american popular song,1
1958,avant-garde jazz,4
1958,ballad,33
1958,baroque,1
1958,bebop,1
1958,big band,64
1958,blue-eyed soul,1
1958,bluegrass,8
1958,bluegrass gospel,2
1958,blues,82
1958,blues rock,1
1958,bolero,1
1958,boogie-woogie,2
1958,bop,10
1958,cabaret,1
1958,calypso,2
1958,celtic,1
1958,chicago blues,8
1958,christmas,4
1958,christmas music,2
1958,classic country,1
1958,classic pop,2
1958,classic pop vocals,2
1958,classical,66
1958,close harmony,3
1958,comedy,7
1958,comedy rock,1
1958,comedy/spoken,1
1958,concerto,2
1958,contemporary jazz,1
1958,contemporary pop/rock,1
1958,cool,2
1958,cool jazz,37
1958,country,64
1958,country blues,3
1958,country folk,1
1958,country gospel,2
1958,country rock,5
1958,country-pop,2
1958,cowboy,1
1958,crossover jazz,1
1958,death by pneumonia,1
1958,discogs/the most popular album released every year from 1950 to 2020,1
1958,dixieland,17
1958,dog on cover,1
1958,doo wop,4
1958,doo-wop,64
1958,early jazz,1
1958,early pop,9
1958,early pop/rock,2
1958,early r&b,1
1958,easy listening,83
1958,electronic,1
1958,exotica,8
1958,experimental big band,1
1958,field recording,2
1958,film soundtrack,1
1958,folk,21
1958,folk rock,3
1958,free jazz,4
1958,funk,1
1958,garage rock,1
1958,gospel,16
1958,hard bop,54
1958,honky tonk,1
1958,instrumental,4
1958,instrumental jazz,1
1958,instrumental pop,1
1958,instrumental r&b,1
1958,instrumental rock,6
1958,interview,1
1958,jazz,517
1958,jazz and blues,2
1958,jazz blues,1
1958,jazz instrument,5
1958,jazz pop,1
1958,jazz rock,1
1958,jazz-in-paris,2
1958,jazz/swing,3
1958,jump blues,6
1958,latin,21
1958,latin jazz,11
1958,louisiana blues,3
1958,mambo,6
1958,merengue,1
1958,modal,2
1958,modal jazz,2
1958,modal music,1
1958,modern electric blues,1
1958,musical,5
1958,new orleans jazz,1
1958,new orleans r&b,1
1958,non-music,16
1958,novelty,2
1958,offizielle charts,1
1958,old-time,1
1958,oldies,6
1958,opera,2
1958,other 50's oldies,1
1958,piano blues,4
1958,poetry,1
1958,pop,264
1958,pop rock,14
1958,pop soul,1
1958,pop-soul,1
1958,pop/rock,4
1958,post-bop,7
1958,progressive big band,1
1958,r&b,15
1958,ragtime,3
1958,renaissance,2
1958,rhythm & blues,11
1958,rhythm and blues,1
1958,roch & roll,1
1958,rock,245
1958,rock & roll,34
1958,rock and roll,143
1958,rock roll,3
1958,rockabilly,68
1958,rough guide jazz,1
1958,schlager,1
1958,slow rock,1
1958,smooth jazz,3
1958,soul,15
1958,soul jazz,11
1958,soundtrack,3
1958,space age pop,1
1958,spirituals,1
1958,spoken word,7
1958,standards,4
1958,stride,1
1958,surf,1
1958,surf rock,1
1958,swamp pop,1
1958,swing,64
1958,swing music,2
1958,symphony,2
1958,third stream,3
1958,torch songs,2
1958,traditional country,3
1958,traditional pop,17
1958,trumpet jazz,4
1958,urban blues,1
1958,vocal,12
1958,vocal group,1
1958,vocal jazz,25
1958,vocal pop,2
1958,world,1
1959,1950s,3
1959,1959,2
1959,1–4 wochen,1
1959,acoustic blues,3
1959,acoustic chicago blues,3
1959,adult contemporary,1
1959,afro-cuban jazz,2
1959,all-time greatest hits,2
1959,americana,1
1959,bakersfield sound,1
1959,ballad,40
1959,baroque,9
1959,beat poetry,3
1959,bebop,4
1959,best songs ever,1
1959,big band,58
1959,bluegrass,17
1959,bluegrass gospel,6
1959,blues,88
1959,blues rock,3
1959,bolero,1
1959,bop,3
1959,brill building,1
1959,cajun,1
1959,calypso,3
1959,caribbean folk music,1
1959,chicago blues,8
1959,christmas,10
1959,christmas music,4
1959,classic country,5
1959,classic pop,2
1959,classic rock,1
1959,classical,67
1959,comedy,16
1959,concerto,3
1959,contemporary jazz,3
1959,cool jazz,33
